FECHA_HORA_UTC;REGION;LATITUD (°) LOCALIZACIÓN HIPOCENTRO;LONGITUD (°) LOCALIZACIÓN HIPOCENTRO;PROFUNDIDAD (Km) LOCALIZACIÓN HIPOCENTRO;MAGNITUD ;AGENCIA ;LATITUD (°) LOCALIZACIÓN CENTROIDE;LONGITUD (°) LOCALIZACIÓN CENTROIDE;PROFUNDIDAD (Km) LOCALIZACIÓN CENTROIDE;MAGNITUD ;Mo (N.m);Strike plano 1 (°) PLANOS NODALES;Dip plano 1 (°) PLANOS NODALES;Rake plano 1 (°) PLANOS NODALES;Strike plano 2 (°) PLANOS NODALES;Dip plano 2 (°) PLANOS NODALES;Rake plano 2 (°) PLANOS NODALES;T-Plunge (°) EJES PRINCIPALES;T-Azimuth (°) EJES PRINCIPALES;N-Plunge (°) EJES PRINCIPALES;N-Azimuth (°) EJES PRINCIPALES;P-Plunge (°) EJES PRINCIPALES;P-Azimuth (°) EJES PRINCIPALES;Mxx (N.m) MOMENTO TENSOR;Myy (N.m) MOMENTO TENSOR;Mzz (N.m) MOMENTO TENSOR;Mxy (N.m) MOMENTO TENSOR;Myz (N.m) MOMENTO TENSOR;Mzx (N.m) MOMENTO TENSOR;Catalogo
2015-10-29 22:40:25;Los Santos - Santander, Colombia;6,81;-73,14;153;4,4;SGC;6,8;-73,1;140;4.2 Mw;2,363E+15;29;59;-9;124;82;-149;;;;;;;-1,6199e+15;1,9462e+15;-3,2639e+14;9,2173e+14;-4,3098e+14;-1,1355e+15;SWIFT
2015-03-10 20:55:44;Los Santos - Santander, Colombia;6,82;-73,13;158;6,4;SGC;6,83;-73,136;140;6.3 Mw;3.367e+18 ;24;66;-74;170;28;-121;20;103;14;198;65;321;-2.281E+18;-0.43E+18;2.711E+18;-1.132E+18;-1.865E+18;0.457E+18;ISOLA
2015-03-24 20:52:27;Los Santos - Santander, Colombia;6,8;-73,15;154;4,5;SGC;6,801;-73,154;150;4.3 Mw;3.400e+15 ;141;90;25;51;65;180;17;9;65;142;17;274;0.403E+15;2.798E+15;-3.2E+15;0.641E+15;-1.291E+15;-0.609E+15;ISOLA
2015-07-01 05:55:26;Los Santos - Santander, Colombia;6,8;-73,13;145;4,6;SGC;6,8;-73,132;144;4.2 Mw;2.850e+15 ;84;79;33;346;58;167;31;310;55;100;14;211;0.581E+15;-1.098E+15;0.517E+15;1.379E+15;0.64E+15;2.215E+15;ISOLA
2015-10-14 07:47:19;La Esperanza - Norte de Santander, Colombia;7,74;-73,33;118;5,5;SGC;7,742;-73,329;138;5.2 Mw;7,572E+16;236;88;130;328;40;3;35;179;39;54;31;294;0.512E+16;4.019E+16;-4.531E+16;-4.502E+16;-3.652E+16;-2.292E+16;ISOLA
2015-11-28 17:45:03;Los Santos - Santander, Colombia;6,82;-73,15;154;4,9;SGC;6,819;-73,149;160;4.7 Mw;1.655e+16 ;68;70;-157;330;69;-22;1;199;60;108;30;289;-0.347E+16;1.291E+16;-0.944E+16;-0.277E+16;-0.743E+16;-0.879E+16;ISOLA
2015-02-05 04:21:51;Venezuela;8,36;-72,13;4,1;5,4;SGC;;;;;;0+/-1;41+/-5;38+/-3;239+/-1;66+/-5;124+/-3;;;;;;;;;;;;;POLARIDADES
2015-03-22 22:27:37;San Juan del Cesar - la Guajira, Colombia;6,8;-73,15;154,6;5;SGC;;;;;;67+/-2;78+/-1;138+/-3;168+/-2;49+/-1;16+/-3;;;;;;;;;;;;;POLARIDADES
2015-03-24 20:52:27;Los Santos - Santander, Colombia;6,8;-73,15;153,8;4,5;SGC;;;;;;49+/-4;74+/-10;158+/-4;145+/-4;69+/-10;17+/-4;;;;;;;;;;;;;POLARIDADES
2015-05-16 09:00:59;Paipa - Boyacá, Colombia;5,72;-73,13;0;4,4;SGC;;;;;;149+/-5;88+/-5;-3+/-6;239+/-5;87+/-5;-178+/-6;;;;;;;;;;;;;POLARIDADES
2015-07-27 00:45:34;Villamaria - Caldas, Colombia;5,03;-75,53;2,9;3,8;SGC;;;;;;85+/-3;85+/-3;157+/-3;177+/-3;67+/-3;5+/-3;;;;;;;;;;;;;POLARIDADES
2015-09-18 04:35:09;Sevilla - Valle del Cauca, Colombia;4,11;-75,87;0;4,7;SGC;;;;;;151+/-2;68+/-8;-2+/-2;242+/-2;88+/-8;-158+/-2;;;;;;;;;;;;;POLARIDADES
2015-09-23 18:47:23;Simacota - Santander, Colombia;6,53;-73,56;137,6;4,4;SGC;;;;;;97+/-14;53+/-4;58+/-15;323+/-14;47+/-4;125+/-15;;;;;;;;;;;;;POLARIDADES
2015-11-28 17:45:03;Los Santos - Santander, Colombia;6,82;-73,15;154;4,9;SGC;;;;;;159+/-4;82+/-6;18+/-4;66+/-4;72+/-6;172+/-4;;;;;;;;;;;;;POLARIDADES
2016-01-01 05:28:57;Los Santos - Santander, Colombia;6,82;-73,15;150,5;4;SGC;;;;;;57+/-8;78+/-7;-42+/-2;158+/-8;49+/-7;-164+/-2;;;;;;;;;;;;;POLARIDADES
2016-01-01 15:45:28;Yacopí - Cundinamarca, Colombia;5,62;-74,37;82,9;3,6;SGC;;;;;;12+/-3;64+/-5;178+/-6;103+/-3;88+/-5;26+/-6;;;;;;;;;;;;;POLARIDADES
2016-01-08 14:55:17;Pajarito - Boyacá, Colombia;5,33;-72,75;4;4,5;SGC;5,6;-72,6;30;4.3 Mw;3,366E+15;20;70;146;123;58;24;;;;;;;1,5440e+15;-2,7539e+15;1,2099e+15;-1,6199e+15;-1,0285e+15;1,3900e+15;SWIFT
2016-02-28 05:28:12;Los Santos - Santander, Colombia;6,83;-73,13;150;4,5;SGC;6,8;-73;160;4.9 Mw;2,664E+16;356;79;63;245;29;156;107;28;1;26;-123;49;1,4905E+15;-1,068E+16;9,1881E+15;1,1104E+16;-2,1717E+16;-3,7909E+15;SWIFT
2016-04-22 03:03:52;Pivijay - Magdalena, Colombia;10,5;-74,59;102;1,4;SGC;--0.0;-80,4;5;5.9 Mw;9,434E+17;29;23;96;202;67;87;;;;;;;-1,2596e+17;-5,4895e+17;6,7491e+17;2,6576e+17;6,1404e+17;-2,3658e+17;SWIFT
2016-04-30 16:11:47;Los Santos - Santander, Colombia;6,81;-73,16;146;4,5;SGC;6,8;-73,1;120;5 Mw;3,82E+16;269;88;5;179;85;178;43;2;-71;90;134;5;-1,3274E+15;1,096E+15;2,3149E+14;-3,8013E+16;1,3706E+15;-3,3039E+15;SWIFT
2016-06-23 05:35:38;Los Santos - Santander, Colombia;6,78;-73,16;146;4,5;SGC;6,8;-73,1;170;4.3 Mw;4,023E+15;272;49;-26;20;71;-136;-115;44;38;42;-218;13;1,9347E+15;-1,8824E+14;-1,7464E+15;-2,6612E+15;2,3792E+15;1,6249E+14;SWIFT
2016-07-26 04:32:20;Los Santos - Santander, Colombia;6,8;-73,16;153;4,9;SGC;6,8;-73,1;130;4.6 Mw;9,136E+15;6;67;-21;105;71;-156;-34;30;139;59;-126;2;-1,607E+15;3,9614E+15;-2,3553E+15;7,4349E+15;1,9131E+15;-3,5521E+15;SWIFT
2016-08-26 04:55:15;Los Santos - Santander, Colombia;6,81;-73,14;152;4,5;SGC;6,8;-73,1;130;4.3 Mw;3,476E+15;6;59;-35;116;61;-144;-28;45;-210;44;-120;1;-4,8838E+14;2,2486E+15;-1,7602E+15;2,2045E+15;7,7758E+14;-1,5562E+15;SWIFT
2016-08-28 12:23:32;Rionegro - Santander, Colombia;7,4;-73,13;0;4,3;SGC;7,4;-73,1;5;4.3 Mw;3,104E+15;340;87;-77;84;13;-166;;;;;;;4,8519e+14;-1,6905e+14;-3,1614e+14;6,3576e+14;2,8390e+15;9,9442e+14;SWIFT
2016-09-22 10:42:17;Los Santos - Santander, Colombia;6,82;-73,1;156;5;SGC;6,8;-73,1;150;4.8 Mw;1,992E+16;19;65;32;274;61;151;;;;;;;-1,0283e+16;2,1968e+15;8,0864e+15;1,4554e+16;-8,7399e+15;-4,5413e+15;SWIFT
2016-10-31 00:20:12;Colombia - Huila, Colombia;3,4;-74,64;13;5,3;SGC;3,4;-74,6;45;5.5 Mw;2,401E+17;345;54;62;207;44;123;;;;;;;3,2090e+16;-2,3371e+17;2,0162e+17;2,8570e+16;-4,6130e+16;-8,0953e+16;SWIFT
