lon;lat;depth;str1;dip1;rake1;str2;dip2;rake2;name;Catalogo
-37,97;8,07;18,8;185;54;-73;338;39;-112;611818847;ISC
-36,32;7,56;18,9;181;84;0;271;90;-174;600741595;ISC
-32,87;5,77;18,9;185;48;-59;324;51;-119;611601767;ISC
-37,014;7,976;19;1;80;13;268;77;170;619061761;ISC
-34,042;7,225;19;181,22;82,12;-18,94;273,91;71,24;-171,68;626254750;ISC
61,15;5,68;19,1;122;51;-74;277;42;-109;606622699;ISC
-36,3445;7,2399;19,5;10,07;78,29;22,85;275,18;67,65;167,33;611943933;ISC
-35,5161;7,4059;19,5;182,53;75,8;-0,38;272,62;89,64;-165,8;616779595;ISC
-36,9955;7,6877;19,5;5,54;75,2;15,51;271,48;75,02;164,67;619061761;ISC
-39,43;8,26;19,9;21;73;7;289;84;162;15666379;ISC
-35,49;7,45;20;3;88;-12;94;78;-177;600791307;ISC
-35,424;7,3;20;184,77;85,74;-1,9;274,92;88,11;-175,74;616779595;ISC
-75,2637;7,7745;20;17,78;41,52;-57,58;157,47;55,98;-115,39;625302730;ISC
-32,74;5,71;20,2;172;35;-93;355;55;-88;611684386;ISC
-36,97;7,7;20,5;183;90;-6;273;84;-180;601564322;ISC
-35,7;7,74;20,7;269;90;180;359;90;0;422978;ISC
-43,33;10,93;20,8;7;84;10;276;80;174;15674190;ISC
-71,21;6,47;21;206;50;-66;352;46;-115;223401;ISC
-34,12;7,102;21;12;87;-15;103;75;-177;7484550;ISC
61,05;6,12;21;126;33;-98;315;58;-85;600933496;ISC
-72,12;7,83;21,3;2;55;120;137;45;54;175855;ISC
-71,73;7,53;21,3;178;42;113;329;52;71;140334;ISC
-34,26;7,22;21,4;90;89;177;180;87;1;600698931;ISC
