;FC;BSN;CC;FC somero;BSN somero;CC somero;FC profundo;BSN profundo;CC profundo
mc_mean;1,6000000000000003;1,6000000000000003;1,3999999999999997;1,1999999999999995;1,1999999999999995;1,0;1,6000000000000003;1,6000000000000003;1,3999999999999997
mc_std;2,220446049250313e-16;2,220446049250313e-16;4,440892098500626e-16;6,661338147750939e-16;6,661338147750939e-16;0,0;2,220446049250313e-16;2,220446049250313e-16;4,440892098500626e-16
b_mean;0,98465764469024;0,9909113211097644;0,9604207757251999;0,8782854096140876;0,7560195117752055;0,870538234899376;0,9955062472923015;0,9897247536706827;0,9640236731778218
b_std;0,011555584520298767;0,014762419482930984;0,01954920460791938;0,011777576014481171;0,03912389053183946;0,029084934722637075;0,01201724717954937;0,01335910130570707;0,023959057420526775
a_mean;7,050528448870091;6,912412877506489;5,53575002728059;5,9389897268750795;3,655263652027883;4,435314767058641;6,995040782038006;6,907746636666652;5,473112766368043
a_std;0,03557996919155365;0,04365713695113085;0,046895869929440795;0,030785011011123325;0,07907429582064697;0,05965132783523594;0,03571722316914209;0,03965050713081196;0,057974142261219205
